JAHR;KT;GEBIET;FAT;BIO;B_KULTURLAND;B_VERSORGUNGSSICHERHEIT;B_BIODIVERSITAET;B_PRODUKTIONSSYSTEME;B_LANDSCHAFTSQUALITAET;B_RESSOURCENEFFIZIENZ
2015;GR;02;422;0;1828936;1921640;746922;821143;294824;0
2015;GR;02;422;1;13387820;12891392;7155171;7792497;2645847;3377
2015;GR;02;431;0;1653786;1640320;756308;501050;304914;0
2015;GR;02;431;1;4571224;4333311;2601227;2340271;991700;0
2015;GR;02;999;0;2009328;2042484;907742;703776;345158;0
2015;GR;02;999;1;5440520;5207718;2788641;2977724;1098523;4615
2015;JU;01;411;0;16007;1746879;713457;239329;166483;68164
2015;JU;01;421;0;104777;719243;382822;298646;76424;5145
2015;JU;01;422;0;230798;1207809;636603;636126;167060;3909
2015;JU;01;431;0;68700;231650;155306;96852;21671;320
2015;JU;01;451;0;360981;5626361;1746989;1684330;628065;105496
2015;JU;01;452;0;195632;2082277;881582;792603;247632;31207
2015;JU;01;452;1;50121;571319;195287;557090;68442;33307
2015;JU;01;999;0;563405;6382225;2590497;2434493;723150;138693
2015;JU;01;999;1;72859;719391;307189;801186;81935;83840
2015;JU;02;421;0;5244312;10566580;1897852;3382121;1104137;78013
2015;JU;02;421;1;547021;1142624;379391;655053;110228;2764
2015;JU;02;422;0;1464809;2956840;1057715;1263573;291006;11116
2015;JU;02;422;1;474727;938050;515162;567758;91696;1191
2015;JU;02;431;0;355428;643798;205100;182562;44455;38
2015;JU;02;431;1;154282;231021;146093;147734;29450;2684
2015;JU;02;999;0;1863197;4109371;837343;1690448;410267;41650
2015;LU;01;411;0;16432;625883;160851;54724;84021;42058
2015;LU;01;413;0;3395;179638;47438;14622;13294;4325
2015;LU;01;414;0;5016;176597;70631;20704;9004;9711
2015;LU;01;415;0;23372;38431;69740;2543;1516;2444
2015;LU;01;421;0;1448039;9224527;3061212;4173927;930471;458116
2015;LU;01;421;1;185488;1045561;476124;904954;136479;56014
2015;LU;01;422;0;443814;2566304;1153889;1657767;280157;98952
2015;LU;01;422;1;70271;332463;237656;290219;50991;14850
2015;LU;01;431;0;84780;448765;243303;168519;43358;4008
2015;LU;01;431;1;30015;65223;75355;43532;18442;0
2015;LU;01;442;0;411869;2854784;821951;2841013;250553;209651
2015;LU;01;443;0;96191;444172;198128;814308;56142;23251
2015;LU;01;451;0;81926;1791497;421005;554601;184297;114399
2015;LU;01;452;0;89154;1089818;345070;532349;120561;78757
2015;LU;01;452;1;29313;282505;186741;300310;64076;19519
2015;LU;01;999;0;2738779;29758800;8077382;18389046;2932128;2144089
2015;LU;01;999;1;175570;1196382;571638;1374521;195805;118007
2015;LU;02;421;0;6462922;10850633;3278199;3690985;1534390;129653
2015;LU;02;421;1;658115;1039232;444861;614562;168169;17356
2015;LU;02;422;0;2553690;3841634;1616630;1794902;526948;33156
2015;LU;02;422;1;671797;1023134;599310;625165;164904;12520
2015;LU;02;431;0;461060;693710;271981;253489;111558;1095
2015;LU;02;431;1;110205;184791;107092;115722;33520;0
2015;LU;02;442;0;683377;1316797;382862;1075751;199461;41920
2015;LU;02;999;0;4500776;8315423;2531223;4072198;1184955;169137
2015;LU;02;999;1;281200;439872;288557;330262;69890;11831
2015;NE;01;411;0;48296;1187617;264031;225525;55877;51861
2015;NE;01;415;0;132223;664006;292425;43123;294;13081
2015;NE;01;451;0;251788;1448855;507769;423088;150314;45398
2015;NE;01;452;0;176640;822173;374204;345939;79976;14257
2015;NE;01;999;0;358316;2181474;749859;750272;209774;45566
2015;NE;02;421;0;6674416;19407349;2481156;6425866;981997;171719
2015;NE;02;421;1;268636;795521;152944;419512;46392;12532
2015;NE;02;422;0;1112761;2459107;568978;992644;124132;18713
2015;NE;02;422;1;267008;694000;288492;406812;40983;10499
2015;NE;02;431;0;120171;306573;80089;93496;17740;511
2015;NE;02;999;0;1172275;3328494;665018;1137542;153350;61714
2015;NW;01;421;0;257588;616305;162677;309555;71816;0
2015;NW;01;999;0;80463;192082;76991;127014;17924;0
2015;NW;02;421;0;2375920;2879887;976404;849461;402241;0
2015;NW;02;421;1;478604;536446;212101;335224;98639;0
2015;NW;02;422;0;280198;305926;187490;155786;43791;0
2015;NW;02;422;1;305299;250636;184016;167087;36118;0
2015;NW;02;431;0;333666;325754;108958;99201;39633;0
2015;NW;02;442;0;137863;198798;60640;146100;26393;0
2015;NW;02;999;0;571179;656737;230027;335118;103522;0
2015;OW;01;421;0;414540;863439;239138;425578;138565;311
2015;OW;01;421;1;166140;268643;79997;212353;37760;0
2015;OW;01;999;0;78139;139475;31986;150131;19934;0
2015;OW;02;421;0;3807460;3559540;979183;1393669;507173;0
2015;OW;02;421;1;1998318;1883333;724481;1288269;335650;2010
2015;OW;02;422;0;90263;112878;41582;67623;15347;0
2015;OW;02;422;1;265528;232077;120514;166240;40506;0
2015;OW;02;431;0;108026;120882;43305;25353;23009;0
2015;OW;02;431;1;50320;50610;23241;27861;11643;0
2015;OW;02;999;0;561171;593813;178622;319074;92393;0
2015;OW;02;999;1;197347;187279;76181;111810;42817;0
2015;SG;01;413;0;35577;1101158;222931;87987;79962;14828
2015;SG;01;414;0;2328;188475;217351;12331;3784;6000
2015;SG;01;415;0;239245;134980;83236;3123;15691;13055
2015;SG;01;421;0;3080820;17368273;5768854;8346597;361609;165048
2015;SG;01;421;1;257442;1434371;623430;1186870;44002;32736
2015;SG;01;422;0;431597;1839015;794967;1204193;57440;26041
2015;SG;01;422;1;50057;215542;323151;205578;52055;4721
2015;SG;01;431;0;336444;875620;367016;337915;28981;2366
2015;SG;01;431;1;97010;233217;98561;208985;7722;4746
2015;SG;01;442;0;152420;1226896;435077;1556518;19472;32379
2015;SG;01;443;0;54760;593040;216866;1204202;0;7872
2015;SG;01;451;0;129725;1220949;260714;381554;87386;40551
2015;SG;01;452;0;84483;312612;92070;148974;22194;7132
2015;SG;01;999;0;1103128;8958468;3139840;5143371;388340;189611
2015;SG;01;999;1;132238;596183;218316;703651;20617;23451
2015;SG;02;421;0;14523551;20725817;5633456;7181471;1124012;110099
2015;SG;02;421;1;2486736;3250909;959447;1956084;283404;36101
2015;SG;02;422;0;1737061;2322684;780482;1055130;95177;11547
2015;SG;02;422;1;875999;1004693;405982;649357;70748;3997
2015;SG;02;431;0;839589;1117014;275236;369841;45436;808
2015;SG;02;431;1;238650;297703;171046;171536;37079;139
2015;SG;02;442;0;156811;266802;31247;251336;12654;3041
2015;SG;02;443;0;61092;146005;19895;222358;8335;4057
2015;SG;02;999;0;2806399;4043268;1065698;1704395;207524;30702
2015;SG;02;999;1;702293;917923;337489;661035;81970;6058
2015;SH;01;411;0;118015;4933394;1419079;561245;590492;130377
2015;SH;01;415;0;89378;699696;294611;70636;88068;14100
2015;SH;01;431;0;6084;64379;90789;30534;4205;0
2015;SH;01;451;0;104489;2139281;539804;534807;148541;28988
2015;SH;01;452;0;56924;957176;555586;347778;89874;8182
2015;SH;01;999;0;386396;5120722;2554941;1932909;442998;78726
2015;SO;01;411;0;19303;2311970;666093;326217;190680;85928
2015;SO;01;413;0;87;230997;72188;16015;23580;2225
2015;SO;01;414;0;2281;176071;149683;34861;11601;9750
2015;SO;01;421;0;391503;2250350;1024014;853423;96515;7432
2015;SO;01;421;1;48439;274512;193648;228768;16132;10485
2015;SO;01;422;0;207392;973111;708487;466797;42783;14916
2015;SO;01;431;0;165660;578822;481610;210524;20191;2793
2015;SO;01;451;0;143428;6174048;1564500;1774299;592309;107683
2015;SO;01;452;0;99796;1223739;512084;529143;115117;37816
2015;SO;01;999;0;451044;7473216;3530593;2829941;570801;106480
2015;SO;01;999;1;62121;467570;232574;476386;45841;12665
2015;SO;02;421;0;1917483;4518888;1510355;1462200;219071;8828
2015;SO;02;421;1;338728;783152;349090;443794;41422;325
2015;SO;02;422;0;458268;1009986;389764;429200;52020;2093
2015;SO;02;422;1;451854;983907;756003;603417;64775;1361
2015;SO;02;999;0;459680;999730;379467;378692;48959;8086
2015;SZ;01;421;0;1227359;3496660;1603726;1550854;471768;4280
2015;SZ;01;421;1;65878;136857;100585;110925;25580;0
2015;SZ;01;422;0;133378;319477;192847;202900;50376;866
2015;SZ;01;431;0;72952;177164;115090;59140;8088;140
2015;SZ;01;442;0;51945;154038;86908;111099;20084;600
2015;SZ;01;999;0;221528;767834;370754;561439;89543;1771
2015;SZ;02;421;0;9473765;11886311;5632800;3805269;1657485;950
2015;SZ;02;421;1;797812;995442;689838;591028;183122;0
2015;SZ;02;422;0;771824;1091783;568103;451185;146143;0
2015;SZ;02;422;1;733893;967588;651687;598825;146960;0
2015;SZ;02;431;0;1092377;1240384;502049;391051;199130;0
2015;SZ;02;431;1;190927;240466;133401;132091;46429;0
2015;SZ;02;442;0;158733;255451;102608;226411;43102;0
2015;SZ;02;443;0;72224;120785;84974;189219;24348;190
2015;SZ;02;999;0;1550879;1961465;884038;747021;303524;0
2015;TG;01;411;0;9298;4222795;1024308;423687;75561;149496
2015;TG;01;413;0;14187;1217804;210544;94808;15908;13249
2015;TG;01;413;1;0;479853;124893;506097;22678;12836
2015;TG;01;414;0;4218;1645155;337437;99030;83728;66104
2015;TG;01;414;1;3293;127675;90611;140652;21551;8136
2015;TG;01;415;0;86503;337297;79320;28603;21239;11863
2015;TG;01;421;0;459029;9250538;2616702;4912293;887762;220452
2015;TG;01;421;1;44142;1403340;670038;1399819;180361;52517
2015;TG;01;422;0;40853;523425;274433;337037;74182;13439
2015;TG;01;422;1;67511;304791;300245;332256;62997;6438
2015;TG;01;431;0;97069;616983;538093;282471;50289;3297
2015;TG;01;431;1;7890;190807;211521;175544;23827;2295
2015;TG;01;442;0;12015;295462;102447;590355;30756;7574
2015;TG;01;443;0;2272;156002;74436;714452;12855;2479
2015;TG;01;451;0;46956;6089810;1280593;1702546;193205;193715
2015;TG;01;452;0;47343;1495763;451038;544500;63546;27738
2015;TG;01;452;1;12891;327493;125962;358604;3785;9210
2015;TG;01;999;0;277604;15352901;4018463;7466990;844417;501849
2015;TG;01;999;1;84744;1731274;743715;2129859;214583;104097
2015;TG;02;421;0;509749;765093;137932;269354;54879;7696
2015;TG;02;422;0;282100;226895;128414;137027;10635;162
2015;TI;01;411;0;8459;264371;51472;28127;0;1661
2015;TI;01;413;0;3884;239855;58431;12090;0;1513
2015;TI;01;415;0;226840;539164;263667;37780;25023;10262
2015;TI;01;421;0;71846;289946;55116;144504;2574;10723
2015;TI;01;422;0;33663;195783;46585;98605;3437;0
2015;TI;01;431;0;114670;291129;68168;122999;1156;0
2015;TI;01;999;0;132686;511212;163669;112704;7464;12774
2015;TI;02;415;0;132077;149196;40593;3437;9543;0
2015;TI;02;421;0;2931733;4013406;960191;1233781;154537;1243
2015;TI;02;422;0;237302;432482;193080;139256;36227;0
2015;TI;02;422;1;372274;512831;246261;255666;43051;0
2015;TI;02;431;0;2347982;2630781;793975;838914;165633;28
2015;TI;02;431;1;985511;1114304;414425;598655;86126;725
2015;TI;02;999;0;846870;1071333;329017;359566;43487;194
2015;TI;02;999;1;251210;315087;149127;176129;36084;0
2015;UR;01;421;0;403671;600753;143834;305026;75665;0
2015;UR;02;421;0;5761305;4224550;1601710;1317724;646673;0
2015;UR;02;421;1;410923;293959;193965;158529;60879;0
2015;UR;02;422;0;283149;196625;103478;98256;40852;0
2015;UR;02;422;1;723170;515366;270964;316092;59132;0
2015;UR;02;431;0;882317;656189;263166;202484;158592;0
2015;UR;02;431;1;219740;180162;87703;91505;23770;0
2015;UR;02;999;0;907554;592401;339677;166753;128375;0
2015;VD;01;411;0;604440;32539893;7639321;4651745;3445048;1075692
2015;VD;01;413;0;15717;1692381;319720;94885;162194;23610
2015;VD;01;413;1;3388;315847;116357;261356;25553;10658
2015;VD;01;414;0;1505;996772;228884;81775;72214;42140
2015;VD;01;415;0;2479616;5327515;1515066;373302;526865;120615
2015;VD;01;415;1;85466;259635;160656;279883;29335;28169
2015;VD;01;421;0;735957;3405146;882178;1670516;417272;7925
2015;VD;01;422;0;338635;890536;379442;473702;120766;4220
2015;VD;01;422;1;80517;186692;137426;157457;26195;520
2015;VD;01;431;0;275373;891972;717048;444443;101317;9521
2015;VD;01;451;0;2467302;18934356;4493520;5890832;2459630;303955
2015;VD;01;451;1;41798;324516;76650;356180;50024;16561
2015;VD;01;452;0;1333807;6250481;2244014;2746424;823728;129954
2015;VD;01;452;1;154428;899427;361319;950211;125628;60987
2015;VD;01;999;0;2318958;22190944;7486066;8738286;2721866;442040
2015;VD;01;999;1;48453;725640;552064;743015;107135;88930
2015;VD;02;421;0;7074775;10007319;2777211;3437649;1167651;10144
2015;VD;02;421;1;792914;998030;406717;559462;122006;0
2015;VD;02;422;0;978661;1632401;579572;618837;206187;3408
2015;VD;02;422;1;363833;643484;417426;376681;98913;0
2015;VD;02;431;0;198513;262072;84243;94205;14664;0
2015;VD;02;431;1;193610;217361;168085;128290;32642;0
2015;VD;02;451;0;370568;733769;82935;227022;57745;4628
2015;VD;02;452;0;150723;358600;115909;125758;42922;5839
2015;VD;02;999;0;1440576;3028861;812079;965899;309675;18514
2015;VS;01;413;0;21246;674058;212762;54007;1062;575
2015;VS;01;414;0;55435;1435899;151007;35974;190515;9625
2015;VS;01;414;1;32198;357317;73222;365467;13395;0
2015;VS;01;415;0;2707231;2209522;239315;3416;125942;26263
2015;VS;01;415;1;138978;98002;31476;49691;7122;3006
2015;VS;01;421;0;334583;534130;128699;181095;77082;2152
2015;VS;01;422;0;46185;105127;22061;35122;8459;0
2015;VS;01;431;0;244485;372100;151888;170234;37690;679
2015;VS;01;999;0;1030345;2638362;406682;593072;376260;45786
2015;VS;02;414;0;230902;386755;62246;30410;34999;0
2015;VS;02;415;0;3551647;2439082;230333;57836;226025;30984
2015;VS;02;415;1;180466;139374;24331;29265;14544;2303
