FR	411	10698917
FR	413	3263871
FR	414	0
FR	415	0
FR	421	69020625
FR	422	3283198
FR	431	1311639
FR	442	592642
FR	443	1626815
FR	451	16448038
FR	452	3449476
FR	999	46853569
SO	411	3600191
SO	413	345092
SO	414	384247
SO	415	0
SO	421	16988557
SO	422	7616134
SO	431	1459600
SO	442	0
SO	443	0
SO	451	10356267
SO	452	2517695
SO	999	18533846
99	411	3698455
99	413	454416
99	414	1602743
99	415	1785824
99	421	4573749
99	422	3424153
99	431	2570929
99	442	2798999
99	443	4415670
99	451	5093196
99	452	6774990
99	999	35121876
AG	411	8784416
AG	413	3313090
AG	414	1054868
AG	415	952612
AG	421	10017220
AG	422	7316406
AG	431	2967709
AG	442	478018
AG	443	342748
AG	451	17554508
AG	452	9067597
AG	999	53660062
AI	411	0
AI	413	0
AI	414	0
AI	415	0
AI	421	10369815
AI	422	659395
AI	431	199942
AI	442	1363386
AI	443	475657
AI	451	0
AI	452	0
AI	999	4336787
AR	411	0
AR	413	0
AR	414	0
AR	415	0
AR	421	21486458
AR	422	1874511
AR	431	1015411
AR	442	610097
AR	443	0
AR	451	0
AR	452	0
AR	999	3716066
BE	411	15964220
BE	413	5487149
BE	414	800670
BE	415	722161
BE	421	220208186
BE	422	29873541
BE	431	12568023
BE	442	4110292
BE	443	2088881
BE	451	31812310
BE	452	10772756
BE	999	120568797
BL	411	1784292
BL	413	198953
BL	414	856140
BL	415	243180
BL	421	13496122
BL	422	7193176
BL	431	1907050
BL	442	0
BL	443	0
BL	451	3442750
BL	452	1656905
BL	999	12024556
GE	411	5794073
GE	413	325756
GE	414	0
GE	415	5213513
GE	421	0
GE	422	0
GE	431	308874
GE	442	0
GE	443	0
GE	451	0
GE	452	1361655
GE	999	1693694
GL	411	0
GL	413	0
GL	414	0
GL	415	0
GL	421	14649127
GL	422	2163031
GL	431	881686
GL	442	0
GL	443	0
GL	451	0
GL	452	0
GL	999	1230137
GR	411	0
GR	413	0
GR	414	0
GR	415	674023
GR	421	75765800
GR	422	49489569
GR	431	19938285
GR	442	0
GR	443	0
GR	451	444411
GR	452	445544
GR	999	26820822
JU	411	2950319
JU	413	0
JU	414	0
JU	415	0
JU	421	26697153
JU	422	12515948
JU	431	2717144
JU	442	0
JU	443	0
JU	451	10152222
JU	452	5706499
JU	999	23851139
LU	411	983969
LU	413	262712
LU	414	291663
LU	415	138046
LU	421	50989989
LU	422	20661123
LU	431	3569523
LU	442	11089989
LU	443	1632192
LU	451	3147725
LU	452	3138173
LU	999	89867471
NE	411	1833207
NE	413	0
NE	414	0
NE	415	1145152
NE	421	37838040
NE	422	6984129
NE	431	618580
NE	442	0
NE	443	0
NE	451	2827212
NE	452	1813189
NE	999	10813654
NW	411	0
NW	413	0
NW	414	0
NW	415	0
NW	421	10562868
NW	422	1916347
NW	431	907212
NW	442	569794
NW	443	0
NW	451	0
NW	452	0
NW	999	2391057
OW	411	0
OW	413	0
OW	414	0
OW	415	0
OW	421	19325550
OW	422	1152558
OW	431	484250
OW	442	0
OW	443	0
OW	451	0
OW	452	0
OW	999	2780172
SG	411	0
SG	413	1542443
SG	414	430269
SG	415	489330
SG	421	96941139
SG	422	14217214
SG	431	6162660
SG	442	4144653
SG	443	2538482
SG	451	2120879
SG	452	667465
SG	999	33181968
SH	411	7752602
SH	413	0
SH	414	0
SH	415	1256489
SH	421	0
SH	422	0
SH	431	195991
SH	442	0
SH	443	0
SH	451	3495910
SH	452	2015520
SH	999	10516692
SZ	411	0
SZ	413	0
SZ	414	0
SZ	415	0
SZ	421	44508294
SZ	422	7027835
SZ	431	4600879
SZ	442	1210979
SZ	443	491740
SZ	451	0
SZ	452	0
SZ	999	7459796
TG	411	5905145
TG	413	2712857
TG	414	2627590
TG	415	564825
TG	421	23841696
TG	422	3122840
TG	431	2200086
TG	442	1038609
TG	443	962496
TG	451	9506825
TG	452	3467873
TG	999	33470496
TI	411	354090
TI	413	315773
TI	414	0
TI	415	1437582
TI	421	9869600
TI	422	2846503
TI	431	10575181
TI	442	0
TI	443	0
TI	451	0
TI	452	0
TI	999	4518613
UR	411	0
UR	413	0
UR	414	0
UR	415	0
UR	421	16199166
UR	422	2607084
UR	431	2765628
UR	442	0
UR	443	0
UR	451	0
UR	452	0
UR	999	2134760
VD	411	49956139
VD	413	3041666
VD	414	1423290
VD	415	11186123
VD	421	34472872
VD	422	8715511
VD	431	3833359
VD	442	0
VD	443	0
VD	451	36891991
VD	452	16880159
VD	999	52739001
VS	411	0
VS	413	963710
VS	414	3465366
VS	415	12566154
VS	421	42731786
VS	422	7554456
VS	431	21492902
VS	442	0
VS	443	0
VS	451	0
VS	452	0
VS	999	11495003
ZG	411	0
ZG	413	0
ZG	414	0
ZG	415	0
ZG	421	11727708
ZG	422	3093649
ZG	431	937275
ZG	442	0
ZG	443	0
ZG	451	770954
ZG	452	0
ZG	999	6018800
ZH	411	17110695
ZH	413	3846172
ZH	414	927363
ZH	415	1113124
ZH	421	32210583
ZH	422	10039697
ZH	431	4360035
ZH	442	399099
ZH	443	283893
ZH	451	15813949
ZH	452	7677636
ZH	999	42344821
