source,target,value
Summe von B_LANDSCHAFTSQUALITAET,TG,2949
Summe von B_LANDSCHAFTSQUALITAET,TI,614
Summe von B_LANDSCHAFTSQUALITAET,UR,1194
Summe von B_LANDSCHAFTSQUALITAET,VD,13267
Summe von B_LANDSCHAFTSQUALITAET,VS,5587
Summe von B_LANDSCHAFTSQUALITAET,ZG,993
Summe von B_LANDSCHAFTSQUALITAET,ZH,6634
Summe von B_RESSOURCENEFFIZIENZ,FR,1713
Summe von B_RESSOURCENEFFIZIENZ,SO,419
Summe von B_RESSOURCENEFFIZIENZ,99,801
Summe von B_RESSOURCENEFFIZIENZ,AG,795
Summe von B_RESSOURCENEFFIZIENZ,AI,2
Summe von B_RESSOURCENEFFIZIENZ,AR,2
Summe von B_RESSOURCENEFFIZIENZ,BE,2063
Summe von B_RESSOURCENEFFIZIENZ,BL,255
Summe von B_RESSOURCENEFFIZIENZ,GE,322
Summe von B_RESSOURCENEFFIZIENZ,GL,2
Summe von B_RESSOURCENEFFIZIENZ,GR,33
Summe von B_RESSOURCENEFFIZIENZ,JU,608
Summe von B_RESSOURCENEFFIZIENZ,LU,3815
Summe von B_RESSOURCENEFFIZIENZ,NE,446
Summe von B_RESSOURCENEFFIZIENZ,OW,2
Summe von B_RESSOURCENEFFIZIENZ,SG,777
Summe von B_RESSOURCENEFFIZIENZ,SH,260
Summe von B_RESSOURCENEFFIZIENZ,SZ,9
Summe von B_RESSOURCENEFFIZIENZ,TG,1415
Summe von B_RESSOURCENEFFIZIENZ,TI,39
Summe von B_RESSOURCENEFFIZIENZ,VD,2408
Summe von B_RESSOURCENEFFIZIENZ,VS,139
Summe von B_RESSOURCENEFFIZIENZ,ZG,82
Summe von B_RESSOURCENEFFIZIENZ,ZH,707
FR,411,10699
FR,413,3264
FR,421,69021
FR,422,3283
FR,431,1312
FR,442,593
FR,443,1627
FR,451,16448
FR,452,3449
FR,999,46854
SO,411,3600
SO,413,345
SO,414,384
SO,421,16989
SO,422,7616
SO,431,1460
SO,451,10356
SO,452,2518
SO,999,18534
99,411,3698
99,413,454
99,414,1603
99,415,1786
99,421,4574
99,422,3424
99,431,2571
99,442,2799
99,443,4416
99,451,5093
99,452,6775
99,999,35122
AG,411,8784
AG,413,3313
AG,414,1055
AG,415,953
AG,421,10017
AG,422,7316
AG,431,2968
AG,442,478
AG,443,343
AG,451,17555
AG,452,9068
AG,999,53660
AI,421,10370
AI,422,659
AI,431,200
AI,442,1363
AI,443,476
AI,999,4337
AR,421,21486
AR,422,1875
AR,431,1015
AR,442,610
AR,999,3716
BE,411,15964
BE,413,5487
BE,414,801
BE,415,722
BE,421,220208
BE,422,29874
BE,431,12568
BE,442,4110
BE,443,2089
BE,451,31812
BE,452,10773
BE,999,120569
BL,411,1784
BL,413,199
BL,414,856
BL,415,243
BL,421,13496
BL,422,7193
BL,431,1907
BL,451,3443
BL,452,1657
BL,999,12025
GE,411,5794
GE,413,326
GE,415,5214
GE,431,309
GE,452,1362
GE,999,1694
GL,421,14649
GL,422,2163
GL,431,882
GL,999,1230
GR,415,674
GR,421,75766
GR,422,49490
GR,431,19938
GR,451,444
GR,452,446
GR,999,26821
JU,411,2950
JU,421,26697
JU,422,12516
JU,431,2717
JU,451,10152
JU,452,5706
JU,999,23851
LU,411,984
LU,413,263
LU,414,292
LU,415,138
LU,421,50990
LU,422,20661
LU,431,3570
LU,442,11090
LU,443,1632
LU,451,3148
LU,452,3138
LU,999,89867
NE,411,1833
NE,415,1145
NE,421,37838
NE,422,6984
NE,431,619
