debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,514679200,1694804070,2398184400,3240016131,3810548970,4748048400,5539030652,5352576643,10830236430,6964648536,6752956597,6532309712,515,1695,2398,3240,3811,4748,5539,5353,10830,6965,6753,6532
Austria,Portfolio Investment Total Liabilities (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,516275791,926710595,611898125,856741148,1219717531,1574793912,2407632998,1004359020,880340999,553146299,574064492,783150127,516,927,612,857,1220,1575,2408,1004,880,553,574,783
Austria,Portfolio Investment Total Liabilities (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,12954729316,18803118346,20900439519,24389669892,23216280834,28753767310,35571841316,36297228111,37156427780,34928006091,2064434357,2391424463,12955,18803,20900,24390,23216,28754,35572,36297,37156,34928,2064,2391
Austria,Portfolio Investment Total Liabilities (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,8984907,677406,8358599,22547374,24355005,24653865,22029454,50413750,5000000,5189862,0,0,9,1,8,23,24,25,22,50,5,5
Austria,Portfolio Investment Total Liabilities (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,6336797600,0,11711201400,16926938981,12551927825,20551423192,17773436721,13597662107,9506689201,8514597950,7106957870,12595596000,6337,0,11711,16927,12552,20551,17773,13598,9507,8515,7107,12596
Austria,Portfolio Investment Total Liabilities (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,4335509602,5761000000,10372000000,15249407077,17281000000,26569000000,28997000000,9923000000,14974000000,18070000000,11522000000,14408000000,4336,5761,10372,15249,17281,26569,28997,9923,14974,18070,11522,14408
Belgium,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,2433083706,3449174300,3566712000,4464963800,4301186200,4598964000,5292199500,4179275100,5603934000,4993379400,4181884800,4926639600,2433,3449,3567,4465,4301,4599,5292,4179,5604,4993,4182,4927
Belgium,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,6427420,14167784,37991040,101843076,110832003,151059156,140902052,297236848,334963597,340956938,691034124,459825093,6,14,38,102,111,151,141,297,335,341,691,460
Belgium,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,105584,4203958,100325554,64509942,149766274,228164083,164595514,64834492,176893413,275218390,181146000,158328000,0,4,100,65,150,228,165,65,177,275,181,158
Belgium,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,1321068700,1931705400,2671308150,3113746979,2311209255,3121579740,4269870213,2279173173,3064156200,3805137040,1802651014,2002070555,1321,1932,2671,3114,2311,3122,4270,2279,3064,3805,1803,2002
Belgium,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,26820602900,38378693969,52716167550,67702466760,69218891602,79486811967,79028809656,76750284353,1.04961E+11,1.02599E+11,1.02714E+11,1.10077E+11,26821,38379,52716,67702,69219,79487,79029,76750,104961,102599,102714,110077
Belgium,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,14066429300,14838056300,19052355000,20405620100,18014019000,29724690000,35459944800,26564769600,32852883000,34516718400,33682804800,45459927000,14066,14838,19052,20406,18014,29725,35460,26565,32853,34517,33683,45460
Belgium,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,20200000,50337600,232392000,65380800,87297800,127749000,154570500,144736800,96520200,149654400,273012900,211104000,20,50,232,65,87,128,155,145,97,150,273,211
Belgium,Portfolio Investment Total Liabilities (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,49723,504884,391848,428449,661906,790274,3158243,0,0,0,0,0,0,1,0,0,1,1,3
Belgium,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3325144900,6176260121,7426693792,9877949200,9809205500,14338179000,15686697600,12923326200,18802711200,14944060800,10088538300,15975295200,3325,6176,7427,9878,9809,14338,15687,12923,18803,14944,10089,15975
Belgium,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,5210861888,6965465400,9304521000,11140615900,11252558069,10966151930,13193544278,9629267741,13290440809,7300739493,8347222310,9593471057,5211,6965,9305,11141,11253,10966,13194,9629,13290,7301,8347,9593
Belgium,Portfolio Investment Total Liabilities (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,6748324310,12358804087,15296093912,18867187716,17646772467,20060031430,20977734075,17024793388,20421464262,18046742720,14326407326,22823646925,6748,12359,15296,18867,17647,20060,20978,17025,20421,18047,14326,22824
Belgium,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,1081823,6928298,10891976,3280407,9422430,5889706,11242185,0,0,0,0,0,1,7,11,3,9,6,11
Belgium,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,28401253180,33031114196,38692718818,47098949414,49334374771,58602203652,68129783656,50721302684,61146716226,55219790644,47742249712,55256771269,28401,33031,38693,47099,49334,58602,68130,50721,61147,55220,47742,55257
