creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,596816360,942781300,1343832000,1834748700,2101045700,1797705000,2183124300,2477226000,3532351200,2855459400,1665249300,1483005600,596.8,942.8,1343.8,1834.7,2101.0,1797.7,2183.1,2477.2,3532.4,2855.5,1665.2,1483.0
Austria,Portfolio Investment Total Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,29607702.84,0,0,0,0,0,0,0,0,0,0,0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Portfolio Investment Total Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,289149504.3,356558000,680757000,908520700,744390700,1226127000,1352859900,1844002500,2394277200,2787313200,2504990400,4592831400,289.1,356.6,680.8,908.5,744.4,1226.1,1352.9,1844.0,2394.3,2787.3,2505.0,4592.8
Austria,Portfolio Investment Total Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,321550471.8,408993000,516567000,517598000,410535600,500460000,660972900,441168900,1831002600,2173997400,2250092100,1634736600,321.6,409.0,516.6,517.6,410.5,500.5,661.0,441.2,1831.0,2174.0,2250.1,1634.7
Austria,Portfolio Investment Total Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2183947376,3236288200,4746354000,6901760700,9050658400,12200688000,14161602000,12888533700,14002632000,11914895400,11207761800,9406002600,2183.9,3236.3,4746.4,6901.8,9050.7,12200.7,14161.6,12888.5,14002.6,11914.9,11207.8,9406.0
Austria,Portfolio Investment Total Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,591462900,434463519.1,622291750,919266000,851719533.2,0,0,0,0,0,0.0,0.0,591.5,434.5,622.3,919.3,851.7,0.0,0.0,0.0,0.0,0.0
Belgium,Portfolio Investment Total Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2406795048,3868893152,6751082594,8398306518,8507519245,9742984254,11578652396,9316876891,14688357600,16696340118,15084156810,14103990180,2406.8,3868.9,6751.1,8398.3,8507.5,9743.0,11578.7,9316.9,14688.4,16696.3,15084.2,14104.0
Belgium,Portfolio Investment Total Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Portfolio Investment Total Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,55503392.7,31045714.8,56782926.51,178127781.6,179348714.9,433352265,310337817.3,248000559.9,157169460,336815934,212070210,122572260,55.5,31.0,56.8,178.1,179.3,433.4,310.3,248.0,157.2,336.8,212.1,122.6
Belgium,Portfolio Investment Total Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,5071881.5,5502528.9,-1754231.22,41738748.57,42354294.13,82051734,105737998.8,74645166.68,10372320,13268466,16173750,4485960,5.1,5.5,-1.8,41.7,42.4,82.1,105.7,74.6,10.4,13.3,16.2,4.5
Belgium,Portfolio Investment Total Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,8702939.66,20311914.29,756395.3225,1178272.652,1410012.972,3782012.03,3405336.254,31765821,19408500,11874600,0.0,0.0,8.7,20.3,0.8,1.2,1.4,3.8,3.4,31.8,19.4,11.9
Belgium,Portfolio Investment Total Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2532091232,2664768441,3793173096,5443067644,5917124220,5006902116,6964073775,3905480571,5413486680,7610193480,5585248740,5239337400,2532.1,2664.8,3793.2,5443.1,5917.1,5006.9,6964.1,3905.5,5413.5,7610.2,5585.2,5239.3
Belgium,Portfolio Investment Total Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,29983357699,36281224582,54395180794,74930325934,84326478323,1.02096E+11,1.10277E+11,86043553432,1.0883E+11,1.17678E+11,1.24316E+11,1.30805E+11,29983.4,36281.2,54395.2,74930.3,84326.5,102095.9,110276.8,86043.6,108829.8,117677.9,124316.5,130805.4
Belgium,Portfolio Investment Total Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Portfolio Investment Total Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,32303821481,35685362816,43003185848,50430738580,52587789027,59370816999,65086083901,47022920093,55004268900,55596275550,44748108210,40514156100,32303.8,35685.4,43003.2,50430.7,52587.8,59370.8,65086.1,47022.9,55004.3,55596.3,44748.1,40514.2
Belgium,Portfolio Investment Total Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Portfolio Investment Total Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4188951976,6505328764,12038401163,17094036713,17314892762,17329623336,20297568001,19900335109,18796516620,9937666812,3027726000,2471632020,4189.0,6505.3,12038.4,17094.0,17314.9,17329.6,20297.6,19900.3,18796.5,9937.7,3027.7,2471.6
Belgium,Portfolio Investment Total Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4169603035,6298955845,7708053764,12754210650,13269179433,23937623424,39349861587,39074490020,38061372300,38364693798,37984892910,37866516120,4169.6,6299.0,7708.1,12754.2,13269.2,23937.6,39349.9,39074.5,38061.4,38364.7,37984.9,37866.5
Belgium,Portfolio Investment Total Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,41631918417,41760263936,60897258943,76527575229,77855613740,67963601937,62297886754,65394246565,69001138500,46580292774,32275559160,32398658640,41631.9,41760.3,60897.3,76527.6,77855.6,67963.6,62297.9,65394.2,69001.1,46580.3,32275.6,32398.7
