creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Banks Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,417029006.1,709969900,1347621000,2326466800,3677124900,5979180000,7116131400,6933449400,6534561600,6480570000,6411274500,2169093600,417.0290061,709.9699,1347.621,2326.4668,3677.1249,5979.18,7116.1314,6933.4494,6534.5616,6480.57,6411.2745,2169.0936
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,21124319.26,95002980.23,110510186.6,214499074.8,273073741.6,376426040.5,376217236.5,281025628.6,236455908.5,48585247.51,149359642.1,13560568.9,21.12431926,95.00298023,110.5101866,214.4990748,273.0737416,376.4260405,376.2172365,281.0256286,236.4559085,48.58524751,149.3596421,13.5605689
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4756169.644,13328331.83,36994950.5,101696463.7,109933337.6,147694538.5,136604991.6,133243401.2,120042399.2,335750167.5,688062054,124285460.5,4.756169644,13.32833183,36.9949505,101.6964637,109.9333376,147.6945385,136.6049916,133.2434012,120.0423992,335.7501675,688.062054,124.2854605
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,9239910.893,12237071.55,35308635.64,30457940.41,48274988.43,29802664.5,27555660.06,13541640.07,0,0,0,0,9.239910893,12.23707155,35.30863564,30.45794041,48.27498843,29.8026645,27.55566006,13.54164007,0,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,417917.664,50856.147,5386527.513,114009636.4,105551610.2,125244225,188964644.4,79398585.73,54910889.21,148110073.5,151749239,0,0.417917664,0.050856147,5.386527513,114.0096364,105.5516102,125.244225,188.9646444,79.39858573,54.91088921,148.1100735,151.749239,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,78383602.48,190636704.7,360442530.4,413399731.4,576223791.9,909217614.6,1017821717,973791610.9,1013507080,987354524.6,1530583605,786066387.4,78.38360248,190.6367047,360.4425304,413.3997314,576.2237919,909.2176146,1017.821717,973.7916109,1013.50708,987.3545246,1530.583605,786.0663874
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,192542050.8,223623865.1,211454661.9,764709767.9,497349692.3,709670573.5,471011643.9,692957850.3,505023689.7,716715218.5,837389709,113861901.4,192.5420508,223.6238651,211.4546619,764.7097679,497.3496923,709.6705735,471.0116439,692.9578503,505.0236897,716.7152185,837.389709,113.8619014
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,89602548.09,137648225.8,143530713.8,257268416.8,458647480.1,1101282066,949235105.7,4825652900,12514748130,19054836807,6124014375,4171037225,89.60254809,137.6482258,143.5307138,257.2684168,458.6474801,1101.282066,949.2351057,4825.6529,12514.74813,19054.83681,6124.014375,4171.037225
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,26759891.16,20231998.01,30228514.63,156284226.4,323151623.8,663860211.8,669243157.8,819413735.1,1136811195,1324253838,944663018.1,194506210.3,26.75989116,20.23199801,30.22851463,156.2842264,323.1516238,663.8602118,669.2431578,819.4137351,1136.811195,1324.253838,944.6630181,194.5062103
