creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total General Government Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,352520,0,1263000,1362100,0,0,0,0,2881200,1336200,9057300,13194000,0.35252,0,1.263,1.3621,0,0,0,0,2.8812,1.3362,9.0573,13.194
Austria,Portfolio Investment Total General Government Assets (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4230240,1048700,1263000,1362100,2359400,1317000,5888400,5566800,5762400,17370600,2587800,3958200,4.23024,1.0487,1.263,1.3621,2.3594,1.317,5.8884,5.5668,5.7624,17.3706,2.5878,3.9582
Austria,Portfolio Investment Total General Government Assets (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,705040,0,0,0,0,0,0,0,0,0,0,0,0.70504,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Arab Emirates,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,5175600,5277600,0,0,0,0,0,0,0,0,0,0,5.1756,5.2776
Austria,Portfolio Investment Total General Government Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,7755440,26217500,6315000,28604100,29492500,123798000,163403100,115511100,80673600,100215000,166913100,166244400,7.75544,26.2175,6.315,28.6041,29.4925,123.798,163.4031,115.5111,80.6736,100.215,166.9131,166.2444
Austria,Portfolio Investment Total General Government Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,58518320,334535300,151560000,25879900,9437600,19755000,148682100,194838000,184396800,77499600,161737500,222978600,58.51832,334.5353,151.56,25.8799,9.4376,19.755,148.6821,194.838,184.3968,77.4996,161.7375,222.9786
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
