debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,105584.4449,4203958.116,100325554.4,64509942.38,149766273.8,228164082.9,164595514.3,64834491.95,176893413,275218390,181146000,158328000,0,4,100,65,150,228,165,65,177,275,181,158
Belgium,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,1321068700,1931705400,2671308150,3113746979,2311209255,3121579740,4269870213,2279173173,3064156200,3805137040,1802651014,2002070555,1321,1932,2671,3114,2311,3122,4270,2279,3064,3805,1803,2002
Belgium,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,26820602900,38378693969,52716167550,67702466760,69218891602,79486811967,79028809656,76750284353,1.04961E+11,1.02599E+11,1.02714E+11,1.10077E+11,26821,38379,52716,67702,69219,79487,79029,76750,104961,102599,102714,110077
Belgium,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,14066429300,14838056300,19052355000,20405620100,18014019000,29724690000,35459944800,26564769600,32852883000,34516718400,33682804800,45459927000,14066,14838,19052,20406,18014,29725,35460,26565,32853,34517,33683,45460
Belgium,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,20200000,50337600,232392000,65380800,87297800,127749000,154570500,144736800,96520200,149654400,273012900,211104000,20,50,232,65,87,128,155,145,97,150,273,211
Belgium,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,3325144900,6176260121,7426693792,9877949200,9809205500,14338179000,15686697600,12923326200,18802711200,14944060800,10088538300,15975295200,3325,6176,7427,9878,9809,14338,15687,12923,18803,14944,10089,15975
Belgium,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,5210861888,6965465400,9304521000,11140615900,11252558069,10966151930,13193544278,9629267741,13290440809,7300739493,8347222310,9593471057,5211,6965,9305,11141,11253,10966,13194,9629,13290,7301,8347,9593
Belgium,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,1081822.761,6928297.521,10891975.76,3280406.953,9422429.907,5889705.882,11242184.56,0,0,0,0,0,1,7,11,3,9,6,11
Belgium,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),USD,Units,28401253180,33031114196,38692718818,47098949414,49334374771,58602203652,68129783656,50721302684,61146716226,55219790644,47742249712,55256771269,28401,33031,38693,47099,49334,58602,68130,50721,61147,55220,47742,55257
Belgium,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),USD,Units,29199720,55162800,89050850,113752535.5,94847880,93507000,110556182.1,183939597.3,225547539,164490228.6,224319043.7,196194780,29,55,89,114,95,94,111,184,226,164,224,196
Belgium,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),USD,Units,18124815800,22627799900,24206658000,30378916300,30192062100,27526617000,30036728400,21912316500,27537069000,27898519800,24022547400,27436923000,18125,22628,24207,30379,30192,27527,30037,21912,27537,27899,24023,27437
Belgium,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),USD,Units,1410838316,1249370842,2449787518,2834664285,1478671371,1587603990,2515553922,2023907559,1991254944,1827614274,2604879480,2113045488,1411,1249,2450,2835,1479,1588,2516,2024,1991,1828,2605,2113
